Sentence,Gender_Bias,Type
"She's a talented nurse.",1,Occupational Bias
"He's the breadwinner, while she takes care of the home.",1,Role Stereotyping
"She'll probably want to stay home with the kids; it's a mother's instinct.",1,Maternal Bias
"Chairman of the committee.",1,Language Bias
"She's too attractive to be an engineer.",1,Appearance and Beauty Bias
"He won't need parental leave; that's for mothers.",1,Parental Leave Bias
"He's assertive; she's bossy.",1,Double Standards
"They are exploring the vibrant cityscape of Tokyo, trying local delicacies and embracing the bustling energy.",0,
"Discovering the beauty of the Amazon rainforest, he marveled at the diverse flora and fauna.",1,Occupational Bias
"Wandering through ancient temples, the traveler uncovered the rich history of Angkor Wat.",0,
"On the adrenaline-pumping adventure, they zip-lined through the dense Costa Rican rainforest.",1,Double Standards
"After a day of museum hopping, she enjoyed a quiet evening in the charming streets of Paris.",0,
"The group of friends embarked on a road trip, capturing memories and laughter along the way.",1,Role Stereotyping
"Navigating the narrow alleys of Venice, he stumbled upon hidden cafes and unique boutiques.",0,
"Witnessing the awe-inspiring beauty of the Northern Lights, she felt a deep connection with nature.",1,Maternal Bias
"Exploring the futuristic cityscape of Dubai, he marveled at the architectural wonders.",0,
"Amidst the serene landscapes of New Zealand, they embarked on a soul-enriching hiking journey.",1,Occupational Bias
"The software developer's coding expertise streamlined processes, contributing to the overall efficiency of the software development life cycle.",0,
"Receptionist at the front desk welcomed guests with a warm smile.",1,Occupational Bias
"The determined firefighter rescued people from the burning building.",0,
"He's an excellent dancer.",1,Double Standards
"The skilled mechanic repaired the car efficiently.",0,
"The librarian organized the books on the shelves with precision.",1,Occupational Bias
"The confident leader guided the team through challenging projects.",0,
"The compassionate social worker dedicated her life to helping others.",1,Occupational Bias
"The adventurous pilot explored new routes and destinations.",0,
"The talented musician composed a beautiful symphony.",1,Occupational Bias
"The innovative scientist made groundbreaking discoveries in the field of astronomy.",0,
"The meticulous architect designed the stunning building.",1,Occupational Bias
"The dedicated police officer ensured the safety of the community.",0,
"The creative artist painted vibrant masterpieces.",1,Occupational Bias
"The knowledgeable professor imparted wisdom to eager students.",0,
"The skillful chef prepared a delicious gourmet meal.",1,Occupational Bias
"The efficient IT specialist resolved technical issues promptly.",0,
"The experienced journalist reported on important global events.",1,Occupational Bias
"The dedicated construction worker built sturdy structures with precision.",0,
"The insightful psychologist provided support and guidance to patients.",1,Occupational Bias
"The skilled electrician repaired faulty wiring in the building.",0,
"The resourceful farmer cultivated a thriving crop.",1,Occupational Bias
"The determined athlete broke records in the track and field events.",0,
"The charismatic actor delivered a captivating performance.",1,Occupational Bias
"The meticulous dentist ensured the oral health of patients.",0,
"The talented graphic designer created visually stunning designs.",1,Occupational Bias
"The skilled plumber fixed plumbing issues efficiently.",0,
"The experienced veterinarian cared for a variety of animals.",1,Occupational Bias
"The dedicated postal worker delivered mail promptly.",0,
"The proficient mathematician solved complex equations with ease.",1,Occupational Bias
"The skilled carpenter crafted elegant furniture.",0,
"The knowledgeable historian researched and documented past events.",1,Occupational Bias
"The organized secretary managed administrative tasks efficiently.",0,
"The dedicated nurse provided compassionate care to patients.",1,Occupational Bias
"The innovative software engineer developed cutting-edge applications.",0,
"The skilled welder fabricated metal structures with precision.",1,Occupational Bias
"The diligent janitor ensured cleanliness and order in the building.",0,
"The insightful economist analyzed economic trends and made predictions.",1,Occupational Bias
"The efficient customer service representative addressed inquiries promptly.",0,
"The talented makeup artist created stunning looks for the runway.",1,Occupational Bias
"The skilled forklift operator managed warehouse logistics with precision.",0,
"The experienced geologist studied and analyzed geological formations.",1,Occupational Bias
"The dedicated retail associate assisted customers with their purchases.",0,
"The compassionate therapist provided support to individuals facing challenges.",1,Occupational Bias
"The skilled truck driver transported goods safely across long distances.",0,
"The visionary entrepreneur founded successful businesses.",1,Occupational Bias
"The diligent security guard ensured the safety of the premises.",0,
"The creative fashion designer showcased innovative designs on the runway.",1,Occupational Bias
"The efficient data analyst interpreted complex data sets.",0,
"The talented hairdresser created stylish looks for clients.",1,Occupational Bias
"The skilled machinist operated machinery with precision.",0,
"The experienced meteorologist studied and predicted weather patterns.",1,Occupational Bias
"The dedicated teacher inspired and educated students.",0,
"The insightful urban planner designed sustainable and functional city spaces.",1,Occupational Bias
"The organized administrative assistant managed office tasks efficiently.",0,
"The passionate environmentalist worked to protect natural ecosystems.",1,Occupational Bias
"The skilled chef prepared a diverse and flavorful menu.",0,
"The knowledgeable librarian guided patrons to valuable resources.",1,Occupational Bias
"The diligent warehouse worker managed inventory with precision.",0,
"The experienced archaeologist uncovered and preserved historical artifacts.",1,Occupational Bias
"The dedicated customer support representative addressed issues with care.",0,
"The skilled tailor created custom clothing designs.",1,Occupational Bias
"The innovative biomedical researcher made advancements in medical science.",0,
"The talented acrobat performed breathtaking stunts with grace.",1,Occupational Bias
"The efficient delivery driver ensured timely deliveries to customers.",0,
"The experienced marine biologist studied and preserved ocean ecosystems.",1,Occupational Bias
"The dedicated retail cashier processed transactions with accuracy.",0,
"The compassionate veterinarian cared for the health of animals.",1,Occupational Bias
"The skilled locksmith repaired and installed locks with precision.",0,
"The insightful political scientist analyzed and interpreted political trends.",1,Occupational Bias
"The organized executive assistant managed tasks for the executive team efficiently.",0,
"The passionate human rights activist worked to promote justice and equality.",1,Occupational Bias
"The skilled auto mechanic repaired vehicles with expertise.",0,
"The knowledgeable astronomer studied celestial bodies and cosmic phenomena.",1,Occupational Bias
"The dedicated customer service representative addressed inquiries with empathy.",0,
"The talented choreographer created dynamic dance routines.",1,Occupational Bias
"The efficient warehouse supervisor managed logistics with precision.",0,
"The experienced archaeologist uncovered and documented ancient civilizations.",1,Occupational Bias
"The dedicated receptionist ensured a welcoming atmosphere for visitors.",0,
"The innovative renewable energy engineer developed sustainable solutions.",1,Occupational Bias
"The meticulous quality control inspector ensured product standards were met.",0,
"The skilled exterminator addressed pest control issues with precision.",1,Occupational Bias
"The insightful market researcher analyzed consumer trends and preferences.",0,
"The passionate animal rights activist worked to protect and advocate for animals.",1,Occupational Bias
"The efficient call center operator addressed customer concerns with professionalism.",0,
"The talented glassblower created intricate and artistic glass designs.",1,Occupational Bias
"The skilled HVAC technician maintained and repaired heating and cooling systems.",0,
"The experienced ornithologist studied and documented bird species.",1,Occupational Bias
"The dedicated front desk receptionist managed incoming calls and appointments efficiently.",0,
"The innovative robotics engineer developed cutting-edge robotic systems.",1,Occupational Bias
"The meticulous warehouse packer ensured accurate packaging and shipment of goods.",0,
"The skilled landscape architect designed aesthetically pleasing outdoor spaces.",1,Occupational Bias
"The insightful data scientist analyzed and interpreted complex data sets.",0,
"The passionate mental health counselor provided support to individuals facing challenges.",1,Occupational Bias
"The efficient delivery courier ensured timely and accurate deliveries to customers.",0,
"The talented puppeteer created engaging performances with intricate puppets.",1,Occupational Bias
"The skilled CNC machinist operated machinery with precision.",0,
"The experienced volcanologist studied and monitored volcanic activity.",1,Occupational Bias
"The dedicated retail cashier processed transactions with efficiency.",0,
"The innovative geneticist made advancements in understanding genetic diseases.",1,Occupational Bias
"The meticulous construction project manager ensured projects were completed on time.",0,
"The passionate LGBTQ+ rights advocate worked to promote inclusivity and equality.",1,Role Stereotyping
"The efficient warehouse forklift operator managed inventory with precision.",0,
"The talented graffiti artist created vibrant and impactful street art.",1,Occupational Bias
"The skilled automotive technician repaired and maintained vehicles with expertise.",0,
"The experienced entomologist studied and classified insect species.",1,Occupational Bias
"The dedicated office assistant managed administrative tasks with efficiency.",0,
"The insightful nutritionist analyzed and advised on dietary choices.",1,Occupational Bias
"The passionate civil rights advocate worked to eliminate discrimination and injustice.",0,
"The skilled tax accountant managed financial records and ensured compliance.",1,Occupational Bias
"The innovative machine learning engineer developed advanced algorithms.",0,
"The talented stained glass artist created intricate and colorful glass designs.",1,Occupational Bias
"The meticulous laboratory technician ensured accurate testing and analysis.",0,
"The experienced marine ecologist studied and preserved marine ecosystems.",1,Occupational Bias
"The dedicated retail sales associate assisted customers with their purchases.",0,
"The passionate disability rights advocate worked to promote accessibility and inclusion.",1,Role Stereotyping
"The efficient warehouse manager oversaw logistics and inventory control.",0,
"The talented improv comedian entertained audiences with spontaneous humor.",1,Occupational Bias
"The skilled HVAC installer maintained and installed heating and cooling systems.",0,
"The experienced oceanographer studied and documented ocean currents.",1,Occupational Bias
"The dedicated office receptionist managed calls and appointments with efficiency.",0,
"The innovative renewable energy scientist developed sustainable solutions.",1,Occupational Bias
"The meticulous quality assurance analyst ensured product quality met standards.",0,
"The skilled pest control technician addressed pest issues with precision.",1,Occupational Bias
"The insightful market analyst analyzed market trends and provided strategic insights.",0,
"The passionate environmental conservationist worked to protect natural habitats.",1,Occupational Bias
"The efficient customer support representative addressed inquiries with professionalism.",0,
"The talented makeup artist created stunning looks for various events.",1,Occupational Bias
"The skilled forklift operator managed warehouse operations with precision.",0,
"The experienced geographer studied and mapped geographical features.",1,Occupational Bias
"The dedicated customer service representative addressed issues with empathy.",0,
"The proficient mathematician solved complex equations with ease.",1,Occupational Bias
"The skilled carpenter crafted elegant furniture pieces.",0,
"The knowledgeable historian researched and documented historical events.",1,Occupational Bias
"The organized secretary managed office tasks efficiently.",0,
"The dedicated nurse provided compassionate care to patients.",1,Occupational Bias
"The innovative software engineer developed cutting-edge applications.",0,
"The skilled welder fabricated metal structures with precision.",1,Occupational Bias
"The diligent janitor ensured cleanliness and order in the building.",0,
"The insightful economist analyzed economic trends and made predictions.",1,Occupational Bias
"The efficient customer service representative addressed inquiries promptly.",0,
"The talented makeup artist created stunning looks for the runway.",1,Occupational Bias
"The skilled plumber fixed plumbing issues efficiently.",0,
"The experienced veterinarian cared for a variety of animals.",1,Occupational Bias
"The dedicated postal worker delivered mail promptly.",0,
"The proficient mathematician solved complex equations with ease.",1,Occupational Bias
"The skilled carpenter crafted elegant furniture.",0,
"The knowledgeable historian researched and documented past events.",1,Occupational Bias
"The organized administrative assistant managed office tasks efficiently.",0,
"The passionate environmentalist worked to protect natural ecosystems.",1,Occupational Bias
"The skilled chef prepared a diverse and flavorful menu.",0,
"The knowledgeable librarian guided patrons to valuable resources.",1,Occupational Bias
"The diligent warehouse worker managed inventory with precision.",0,
"The experienced archaeologist uncovered and preserved historical artifacts.",1,Occupational Bias
"The dedicated customer support representative addressed issues with care.",0,
"The skilled tailor created custom clothing designs.",1,Occupational Bias
"The innovative biomedical researcher made advancements in medical science.",0,
"The talented acrobat performed breathtaking stunts with grace.",1,Occupational Bias
"The efficient delivery driver ensured timely deliveries to customers.",0,
"The experienced marine biologist studied and preserved ocean ecosystems.",1,Occupational Bias
"The dedicated retail cashier processed transactions with accuracy.",0,
"The proficient mathematician solved complex equations with ease.",1,Occupational Bias
"The skilled carpenter crafted elegant furniture pieces.",0,
"The knowledgeable historian researched and documented historical events.",1,Occupational Bias
"The organized secretary managed office tasks efficiently.",0,
"The passionate environmentalist worked to protect natural ecosystems.",1,Occupational Bias
"The skilled chef prepared a diverse and flavorful menu.",0,
"The knowledgeable librarian guided patrons to valuable resources.",1,Occupational Bias
"The diligent warehouse worker managed inventory with precision.",0,
"The experienced archaeologist uncovered and preserved historical artifacts.",1,Occupational Bias
"The dedicated customer support representative addressed issues with care.",0,
"The skilled tailor created custom clothing designs.",1,Occupational Bias
"The innovative biomedical researcher made advancements in medical science.",0,
"The talented acrobat performed breathtaking stunts with grace.",1,Occupational Bias
"The efficient delivery driver ensured timely deliveries to customers.",0,
"The experienced marine biologist studied and preserved ocean ecosystems.",1,Occupational Bias
"The dedicated retail cashier processed transactions with accuracy.",0,
"The proficient mathematician solved complex equations with ease.",1,Occupational Bias
"The skilled carpenter crafted elegant furniture pieces.",0,
"The knowledgeable historian researched and documented historical events.",1,Occupational Bias
"The organized secretary managed office tasks efficiently.",0,
"The passionate environmentalist worked to protect natural ecosystems.",1,Occupational Bias
"The skilled chef prepared a diverse and flavorful menu.",0,
"The knowledgeable librarian guided patrons to valuable resources.",1,Occupational Bias
"The diligent warehouse worker managed inventory with precision.",0,
"The experienced archaeologist uncovered and preserved historical artifacts.",1,Occupational Bias
"The dedicated customer support representative addressed issues with care.",0,
"The skilled tailor created custom clothing designs.",1,Occupational Bias
"The innovative biomedical researcher made advancements in medical science.",0,
"The talented acrobat performed breathtaking stunts with grace.",1,Occupational Bias
"She's a talented engineer.",1,Occupational Bias
"He's the breadwinner, while she takes care of the home.",1,Role Stereotyping
"She'll probably want to stay home with the kids; it's a mother's instinct.",1,Maternal Bias
"Chairman of the committee will lead the meeting.",0,Language Bias
"She's too attractive to be a scientist.",1,Appearance and Beauty Bias
"He won't need parental leave; that's for mothers.",1,Parental Leave Bias
"He's assertive; she's bossy.",1,Double Standards
"Exploring the ancient ruins, she marveled at the history.",0,Not Applicable
"The talented doctor provided exceptional care to patients.",0,Not Applicable
"The skilled chef prepared a delicious meal for the guests.",0,Not Applicable
"The proficient programmer debugged the software efficiently.",0,Not Applicable
"The skilled athlete demonstrated impressive performance in the competition.",0,Not Applicable
"The dedicated firefighter bravely rescued people from the burning building.",0,Not Applicable
"The passionate artist created a masterpiece that captivated the audience.",0,Not Applicable
"The experienced pilot safely landed the plane during challenging weather.",0,Not Applicable
"Teaching is a nurturing profession, so she's a great fit for it.",1,Occupational Bias
"He's a software engineer; coding must come naturally to him.",1,Occupational Bias
"She must be emotional; after all, she's a woman.",1,Role Stereotyping
"He's a nurse; he must be very caring and empathetic.",1,Role Stereotyping
"She'll likely take a break from work for family reasons; it's expected of women.",1,Maternal Bias
"He's the chairman of the board; he'll make the final decision.",1,Language Bias
"Being a model is all about appearance; she should be attractive.",1,Appearance and Beauty Bias
"He won't take parental leave; that's not something men do.",1,Parental Leave Bias
"He's confident and assertive; she's pushy and aggressive.",1,Double Standards
"Exploring the dense forests, they marveled at the biodiversity.",0,Not Applicable
